=== Results per Cache Size (ranked by total cycles) ===

  -- Cache sets=1 --
    Total Cycles    Hit Rate   Configuration
    9880883         .974185    sets=1 blocks=512 wa=write-allocate write-back wt= evict=lru
    10740883        .971478    sets=1 blocks=512 wa=write-allocate write-back wt= evict=fifo
    10802483        .971092    sets=1 blocks=256 wa=write-allocate write-back wt= evict=lru
    12461283        .965713    sets=1 blocks=256 wa=write-allocate write-back wt= evict=fifo
    12654883        .964449    sets=1 blocks=128 wa=write-allocate write-back wt= evict=lru
    15673683        .954964    sets=1 blocks=128 wa=write-allocate write-back wt= evict=fifo
    23010843        .922454    sets=1 blocks=512 wa=no-write-allocate write-through wt= evict=lru
    23399138        .916479    sets=1 blocks=512 wa=no-write-allocate write-through wt= evict=fifo
    23598409        .917984    sets=1 blocks=256 wa=no-write-allocate write-through wt= evict=lru
    24318667        .909551    sets=1 blocks=256 wa=no-write-allocate write-through wt= evict=fifo
    24368165        .909890    sets=1 blocks=128 wa=no-write-allocate write-through wt= evict=lru
    25589083        .974185    sets=1 blocks=512 wa=write-allocate write-through wt= evict=lru
    25937264        .897421    sets=1 blocks=128 wa=no-write-allocate write-through wt= evict=fifo
    26147483        .971478    sets=1 blocks=512 wa=write-allocate write-through wt= evict=fifo
    26227083        .971092    sets=1 blocks=256 wa=write-allocate write-through wt= evict=lru
    27336683        .965713    sets=1 blocks=256 wa=write-allocate write-through wt= evict=fifo
    27597483        .964449    sets=1 blocks=128 wa=write-allocate write-through wt= evict=lru
    29553883        .954964    sets=1 blocks=128 wa=write-allocate write-through wt= evict=fifo

  -- Cache sets=128 --
    Total Cycles    Hit Rate   Configuration
    9277683         .975766    sets=128 blocks=8 wa=write-allocate write-back wt= evict=lru
    9781683         .974123    sets=128 blocks=8 wa=write-allocate write-back wt= evict=fifo
    10071683        .973508    sets=128 blocks=4 wa=write-allocate write-back wt= evict=lru
    10901683        .970854    sets=128 blocks=4 wa=write-allocate write-back wt= evict=fifo
    22833330        .924261    sets=128 blocks=8 wa=no-write-allocate write-through wt= evict=lru
    23060117        .921581    sets=128 blocks=8 wa=no-write-allocate write-through wt= evict=fifo
    23124725        .921672    sets=128 blocks=4 wa=no-write-allocate write-through wt= evict=lru
    23504762        .917569    sets=128 blocks=4 wa=no-write-allocate write-through wt= evict=fifo
    25263083        .975766    sets=128 blocks=8 wa=write-allocate write-through wt= evict=lru
    25601883        .974123    sets=128 blocks=8 wa=write-allocate write-through wt= evict=fifo
    25728683        .973508    sets=128 blocks=4 wa=write-allocate write-through wt= evict=lru
    26276283        .970854    sets=128 blocks=4 wa=write-allocate write-through wt= evict=fifo
    33377283        .890857    sets=128 blocks=1 wa=write-allocate write-back wt= evict=fifo
    33377283        .890857    sets=128 blocks=1 wa=write-allocate write-back wt= evict=lru
    35964382        .827655    sets=128 blocks=1 wa=no-write-allocate write-through wt= evict=fifo
    35964382        .827655    sets=128 blocks=1 wa=no-write-allocate write-through wt= evict=lru
    42777483        .890857    sets=128 blocks=1 wa=write-allocate write-through wt= evict=fifo
    42777483        .890857    sets=128 blocks=1 wa=write-allocate write-through wt= evict=lru

